INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,OPR_TYPE,ANC_TYPE,ANC_REGION,MARKET_RUN_ID,XML_DATA_ITEM,MW,GROUP
2019-07-06T00:00:00-00:00,2019-07-06T01:00:00-00:00,7/5/2019,18,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.01,5
2019-07-05T11:00:00-00:00,2019-07-05T12:00:00-00:00,7/5/2019,5,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,16.3206,5
2019-07-05T12:00:00-00:00,2019-07-05T13:00:00-00:00,7/5/2019,6,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,13.44762,5
2019-07-05T16:00:00-00:00,2019-07-05T17:00:00-00:00,7/5/2019,10,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,5,5
2019-07-06T03:00:00-00:00,2019-07-06T04:00:00-00:00,7/5/2019,21,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,3.55937,5
2019-07-06T05:00:00-00:00,2019-07-06T06:00:00-00:00,7/5/2019,23,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.99,5
2019-07-05T19:00:00-00:00,2019-07-05T20:00:00-00:00,7/5/2019,13,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,18.29788,5
2019-07-05T23:00:00-00:00,2019-07-06T00:00:00-00:00,7/5/2019,17,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,11.94,5
2019-07-05T09:00:00-00:00,2019-07-05T10:00:00-00:00,7/5/2019,3,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,17.0363,5
2019-07-06T16:00:00-00:00,2019-07-06T17:00:00-00:00,7/6/2019,10,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,5,6
2019-07-06T11:00:00-00:00,2019-07-06T12:00:00-00:00,7/6/2019,5,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.99,6
2019-07-07T01:00:00-00:00,2019-07-07T02:00:00-00:00,7/6/2019,19,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,7.11,6
2019-07-07T04:00:00-00:00,2019-07-07T05:00:00-00:00,7/6/2019,22,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,8.78924,6
2019-07-06T13:00:00-00:00,2019-07-06T14:00:00-00:00,7/6/2019,7,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,12.37859,6
2019-07-06T14:00:00-00:00,2019-07-06T15:00:00-00:00,7/6/2019,8,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,16.04,6
2019-07-06T19:00:00-00:00,2019-07-06T20:00:00-00:00,7/6/2019,13,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,4.4,6
2019-07-06T20:00:00-00:00,2019-07-06T21:00:00-00:00,7/6/2019,14,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,26.63776,6
2019-07-07T03:00:00-00:00,2019-07-07T04:00:00-00:00,7/6/2019,21,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,7.48363,6
2019-07-06T12:00:00-00:00,2019-07-06T13:00:00-00:00,7/6/2019,6,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.99,6
2019-07-06T18:00:00-00:00,2019-07-06T19:00:00-00:00,7/6/2019,12,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,7.30233,6
2019-07-06T21:00:00-00:00,2019-07-06T22:00:00-00:00,7/6/2019,15,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,14.57618,6
2019-07-06T23:00:00-00:00,2019-07-07T00:00:00-00:00,7/6/2019,17,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,12.28271,6
2019-07-06T08:00:00-00:00,2019-07-06T09:00:00-00:00,7/6/2019,2,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.99,6
2019-07-06T15:00:00-00:00,2019-07-06T16:00:00-00:00,7/6/2019,9,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.99,6
2019-07-07T05:00:00-00:00,2019-07-07T06:00:00-00:00,7/6/2019,23,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,5,6
2019-07-06T09:00:00-00:00,2019-07-06T10:00:00-00:00,7/6/2019,3,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.99,6
2019-07-06T17:00:00-00:00,2019-07-06T18:00:00-00:00,7/6/2019,11,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,5,6
2019-07-07T06:00:00-00:00,2019-07-07T07:00:00-00:00,7/6/2019,24,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.99,6
2019-07-06T07:00:00-00:00,2019-07-06T08:00:00-00:00,7/6/2019,1,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,7.55866,6
2019-07-06T10:00:00-00:00,2019-07-06T11:00:00-00:00,7/6/2019,4,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.99,6
2019-07-07T00:00:00-00:00,2019-07-07T01:00:00-00:00,7/6/2019,18,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,16.04,6
2019-07-07T02:00:00-00:00,2019-07-07T03:00:00-00:00,7/6/2019,20,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,6.11,6
2019-07-06T22:00:00-00:00,2019-07-06T23:00:00-00:00,7/6/2019,16,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.99,6
2019-07-07T19:00:00-00:00,2019-07-07T20:00:00-00:00,7/7/2019,13,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,23.68616,7
2019-07-07T17:00:00-00:00,2019-07-07T18:00:00-00:00,7/7/2019,11,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,28.32787,7
2019-07-08T02:00:00-00:00,2019-07-08T03:00:00-00:00,7/7/2019,20,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.99,7
2019-07-07T07:00:00-00:00,2019-07-07T08:00:00-00:00,7/7/2019,1,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.99,7
2019-07-07T20:00:00-00:00,2019-07-07T21:00:00-00:00,7/7/2019,14,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,19.60662,7
2019-07-08T03:00:00-00:00,2019-07-08T04:00:00-00:00,7/7/2019,21,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,8.92389,7
2019-07-07T16:00:00-00:00,2019-07-07T17:00:00-00:00,7/7/2019,10,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,21.22456,7
2019-07-07T08:00:00-00:00,2019-07-07T09:00:00-00:00,7/7/2019,2,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,12.27625,7
2019-07-07T18:00:00-00:00,2019-07-07T19:00:00-00:00,7/7/2019,12,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,26.31685,7
